Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_arm,-0.046785,-0.00098204,0.10974,0,0,0,91.64,0.60334,-0.00040839,-0.0038944,0.68726,0.00020595,0.5917,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/base_arm.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/base_arm.STL,,394.083-10.300.00-01umm000~02_objects_5-1;394.083-10.300.00-01umm000~02_objects_4-1;394.083-10.300.00-01umm000~02_objects_12-1;394.083-10.300.00-01umm000~02_objects_9-1;394.083-10.300.00-01umm000~02_objects_6-1;394.083-10.300.00-01umm000~02_objects_3-1,base_arm,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0080148,-0.0054241,0.11231,0,0,0,45.516,0.52733,-0.034725,-0.03364,0.35598,0.020992,0.40114,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_1.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_1.STL,,394.083-10.300.00-01umm000~02_objects_16-1,link_1,基准轴1,joint_a1,revolute,-0.00061909,0,0.2157,0,0,0,base_arm,0,0,-1,0,0,0,0,,,,,,,,
link_2,0.26612,-0.02538,0.068776,0,0,0,84.384,0.443,0.22357,-0.027695,3.8805,0.00077028,3.6823,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_2.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_2.STL,,394.083-10.300.00-01umm000~02_objects_7-1,link_2,基准轴2,joint_a2,revolute,0.011395,-0.071615,0.1803,1.3545,-1.5708,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,0.011131,0.052479,0.072757,0,0,0,31.013,0.21568,-0.02434,-0.00045379,0.080696,-0.0033315,0.22357,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_3.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_3.STL,,394.083-10.300.00-01umm000~02_objects_8-1,link_3,基准轴3,joint_a3,revolute,0.55896,-0.034133,-0.008,0,0,0,link_2,0,0,1,0,0,0,0,,,,,,,,
link_4,-5.4213E-05,-0.0016695,0.15386,0,0,0,27.356,0.24636,6.8921E-05,0.00023212,0.22365,0.0075463,0.066562,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_4.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_4.STL,,394.083-10.300.00-01umm000~02_objects_14-1,link_4,基准轴4,joint_a4,revolute,0.025,0.205,0.0755,-1.5708,0,0,link_3,0,0,1,0,0,0,0,,,,,,,,
link_5,0.00037113,-0.053077,0.011452,0,0,0,5.9558,0.0097612,5.2407E-06,-4.0674E-05,0.0085564,7.7038E-05,0.0066757,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_5.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_5.STL,,394.083-10.300.00-01umm000~02_objects_10-1,link_5,基准轴5,joint_a5,revolute,-0.0002289,0.0545,0.31,0,0,0,link_4,0.0042,-0.99999,0,0,0,0,0,,,,,,,,
link_6,0.00014555,-0.0022055,-0.010033,0,0,0,0.59297,0.00022595,-5.5738E-07,-2.5386E-06,0.00023504,4.1459E-05,0.00041455,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_6.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://kr_10_r1100-2/meshes/link_6.STL,,394.083-10.300.00-01umm000~02_objects_1-1,link_6,基准轴6,joint_a6,revolute,0.0011204,-0.054496,0.066994,-2.9253,0,0,link_5,0.013305,-0.21466,-0.9766,0,0,0,0,,,,,,,,
